model_name,alpha,validation_year,fold_rmse,mean_fold_rmse
combined_prevalence,0.0,2023,880.6302228956813,831.8510227934075
combined_prevalence,0.0,2024,783.0718226911338,831.8510227934075
combined_prevalence,0.1,2023,835.424642147015,804.2265762027196
combined_prevalence,0.1,2024,773.028510258424,804.2265762027196
combined_prevalence,1.0,2023,756.5230133230815,758.6905655204399
combined_prevalence,1.0,2024,760.8581177177983,758.6905655204399
combined_prevalence,10.0,2023,640.240826266375,654.4586257175129
combined_prevalence,10.0,2024,668.6764251686506,654.4586257175129
combined_prevalence,100.0,2023,498.5960361450318,477.1894387211954
combined_prevalence,100.0,2024,455.78284129735897,477.1894387211954
